SSN,ExplanationInfluencer,ExplanationInfluencerValue,ExplanationRank,PredictedCategory,OutlierIndicator,ExplanationStrength,PredictionProbability
1,,,0,0,0,,0.38
1,age,49,1,,,0.93,
1,capital_gain,0,5,,,-0.3,
1,capital_loss,0,8,,,-0.11,
1,education_num,9,3,,,-0.64,
1,hours_per_week,40,10,,,-0.05,
1,marital_status,Married-civ-spouse,4,,,0.6,
1,occupation,Craft-repair,6,,,-0.21,
1,relationship,Husband,2,,,0.75,
1,sex,Male,7,,,0.15,
1,workclass,Private,9,,,0.07,
2,,,0,0,0,,0.36
2,age,48,1,,,0.95,
2,capital_gain,0,6,,,-0.3,
2,capital_loss,0,8,,,-0.11,
2,education_num,9,3,,,-0.65,
2,hours_per_week,40,10,,,-0.07,
2,marital_status,Married-civ-spouse,4,,,0.59,
2,occupation,Transport-moving,5,,,-0.42,
2,relationship,Husband,2,,,0.77,
2,sex,Male,7,,,0.14,
2,workclass,Private,9,,,0.09,
3,,,0,0,0,,0.24
3,age,36,10,,,-0.05,
3,capital_gain,0,4,,,-0.31,
3,capital_loss,0,7,,,-0.11,
3,education_num,9,2,,,-0.65,
3,hours_per_week,40,8,,,-0.1,
3,marital_status,Married-civ-spouse,3,,,0.63,
3,occupation,Craft-repair,5,,,-0.26,
3,relationship,Husband,1,,,0.75,
3,sex,Male,6,,,0.12,
3,workclass,Private,9,,,0.06,
4,,,0,0,0,,0.19
4,age,42,5,,,0.38,
4,capital_gain,0,6,,,-0.31,
4,capital_loss,0,7,,,-0.12,
4,education_num,9,3,,,-0.67,
4,hours_per_week,40,10,,,-0.05,
4,marital_status,Married-civ-spouse,4,,,0.6,
4,occupation,Handlers-cleaners,1,,,-1.19,
4,relationship,Husband,2,,,0.8,
4,sex,Male,8,,,0.11,
4,workclass,Private,9,,,0.08,
5,,,0,0,0,,0.42
5,age,53,1,,,1.19,
5,capital_gain,0,5,,,-0.3,
5,capital_loss,0,8,,,-0.11,
5,education_num,9,3,,,-0.66,
5,hours_per_week,40,10,,,-0.03,
5,marital_status,Married-civ-spouse,4,,,0.59,
5,occupation,Transport-moving,6,,,-0.24,
5,relationship,Husband,2,,,0.78,
5,sex,Male,7,,,0.14,
5,workclass,Private,9,,,0.09,
6,,,0,0,0,,0.05
6,age,26,1,,,-1.68,
6,capital_gain,0,6,,,-0.3,
6,capital_loss,0,8,,,-0.12,
6,education_num,9,5,,,-0.62,
6,hours_per_week,40,7,,,-0.19,
6,marital_status,Married-civ-spouse,3,,,0.74,
6,occupation,Other-service,2,,,-1.47,
6,relationship,Husband,4,,,0.69,
6,sex,Male,9,,,0.1,
6,workclass,Private,10,,,0.04,
7,,,0,0,0,,0.15
7,age,28,1,,,-1.09,
7,capital_gain,0,5,,,-0.3,
7,capital_loss,0,7,,,-0.12,
7,education_num,9,4,,,-0.57,
7,hours_per_week,40,9,,,-0.11,
7,marital_status,Married-civ-spouse,2,,,0.75,
7,occupation,Craft-repair,6,,,-0.24,
7,relationship,Husband,3,,,0.68,
7,sex,Male,8,,,0.11,
7,workclass,Private,10,,,0.02,
8,,,0,0,0,,0.15
8,age,28,1,,,-1.09,
8,capital_gain,0,5,,,-0.3,
8,capital_loss,0,7,,,-0.12,
8,education_num,9,4,,,-0.57,
8,hours_per_week,40,9,,,-0.11,
8,marital_status,Married-civ-spouse,2,,,0.77,
8,occupation,Adm-clerical,6,,,-0.25,
8,relationship,Husband,3,,,0.68,
8,sex,Male,8,,,0.12,
8,workclass,Private,10,,,0.01,
9,,,0,0,0,,0.01
9,age,20,1,,,-5.48,
9,capital_gain,0,6,,,-0.32,
9,capital_loss,0,9,,,-0.13,
9,education_num,9,5,,,-0.59,
9,hours_per_week,40,7,,,-0.16,
9,marital_status,Married-civ-spouse,3,,,0.71,
9,occupation,Machine-op-inspct,2,,,-0.78,
9,relationship,Husband,4,,,0.62,
9,sex,Male,8,,,0.14,
